ID,Algorithm,Accuracy (%),Infer (ms),Params (K),Conv Layers,Channels,FC Units,LR,Batch,Epochs,Dropout,Optimizer
1,PyMOO NSGA-II,90.78,0.936,879.1,2,64,128,1.07e-03,64,9,0.08,ADAM
6,PyMOO NSGA-II,90.72,0.826,879.1,2,64,128,1.07e-03,64,9,0.09,ADAM
9,PyMOO NSGA-II,90.64,0.588,421.8,2,32,128,1.07e-03,32,9,0.09,ADAM
23,PyMOO NSGA-II,90.46,0.491,421.8,2,32,128,1.08e-03,32,9,0.19,ADAM
2,PyMOO NSGA-II,90.18,0.532,216.3,3,16,128,3.29e-04,32,10,0.23,ADAM
18,PyMOO NSGA-II,90.04,0.492,115.3,3,16,64,3.29e-04,32,10,0.23,ADAM
10,PyMOO NSGA-II,90.02,0.415,1608.8,1,32,256,2.47e-03,32,10,0.2,SGD
12,PyMOO NSGA-II,89.94,0.472,115.3,3,16,64,2.63e-03,32,8,0.2,ADAM
19,PyMOO NSGA-II,89.66,0.36,207.0,2,16,128,3.19e-04,32,10,0.28,ADAM
21,PyMOO NSGA-II,89.56,0.345,207.0,2,16,128,3.15e-04,32,9,0.28,ADAM
4,PyMOO NSGA-II,89.44,0.389,106.0,2,16,64,2.28e-04,32,9,0.37,ADAM
13,PyMOO NSGA-II,89.42,0.381,106.0,2,16,64,1.50e-03,32,8,0.22,ADAM
7,PyMOO NSGA-II,89.28,0.356,106.0,2,16,64,2.49e-03,32,9,0.13,SGD
17,PyMOO NSGA-II,89.24,0.349,106.0,2,16,64,2.49e-03,32,9,0.2,ADAM
15,PyMOO NSGA-II,89.2,0.321,403.0,1,16,128,2.45e-04,32,10,0.19,ADAM
11,PyMOO NSGA-II,89.12,0.313,402.5,1,32,64,1.22e-03,32,10,0.19,SGD
14,PyMOO NSGA-II,89.06,0.309,403.0,1,16,128,2.45e-04,32,10,0.19,ADAM
20,PyMOO NSGA-II,89.02,0.255,403.0,1,16,128,2.43e-04,32,10,0.09,ADAM
22,PyMOO NSGA-II,89.0,0.232,201.6,1,16,64,2.45e-04,32,8,0.19,ADAM
16,PyMOO NSGA-II,88.98,0.225,201.6,1,16,64,1.04e-03,32,8,0.2,ADAM
8,PyMOO NSGA-II,88.54,0.346,106.0,2,16,64,2.92e-03,32,8,0.37,SGD
3,PyMOO NSGA-II,88.14,0.311,106.0,2,16,64,6.84e-03,128,8,0.1,SGD
5,PyMOO NSGA-II,87.68,0.221,201.6,1,16,64,2.52e-03,32,8,0.35,SGD
